word	language	count
조사	ko	4172
설	ko	4169
건물	ko	4161
므로	ko	4157
직	ko	4148
올리	ko	4147
이렇	ko	4139
실패	ko	4129
이미	ko	4129
옮기	ko	4115
기반	ko	4101
개인	ko	4085
생기	ko	4083
놓	ko	4082
음반	ko	4072
변경	ko	4058
실시	ko	4056
고대	ko	4055
비하	ko	4047
힘	ko	4043
걸치	ko	4012
맞	ko	4012
딸	ko	3999
호선	ko	3997
위원회	ko	3996
정권	ko	3985
떠나	ko	3977
찾	ko	3968
가족	ko	3965
버전	ko	3963
비교	ko	3947
남쪽	ko	3945
클럽	ko	3942
야	ko	3941
혁명	ko	3940
윈도	ko	3934
씨	ko	3931
속도	ko	3928
방향	ko	3921
지지	ko	3909
노래	ko	3907
일제	ko	3907
형식	ko	3901
에너지	ko	3892
먹	ko	3889
개념	ko	3878
공연	ko	3877
트	ko	3871
새	ko	3870
모델	ko	3868
행정	ko	3867
동	ko	3865
북쪽	ko	3863
부대	ko	3862
그룹	ko	3856
애니메이션	ko	3851
골	ko	3847
바로	ko	3835
밖	ko	3822
서비스	ko	3816
통합	ko	3811
란	ko	3803
ㄴ데	ko	3800
차이	ko	3798
기존	ko	3784
수학	ko	3764
시장	ko	3762
손	ko	3754
구분	ko	3730
그리스	ko	3723
내부	ko	3722
이동	ko	3719
에도	ko	3713
어머니	ko	3712
조약	ko	3711
그렇	ko	3707
속하	ko	3690
마다	ko	3679
증가	ko	3677
작업	ko	3676
쉽	ko	3675
사진	ko	3670
어리	ko	3668
열차	ko	3667
공개	ko	3661
최대	ko	3659
선언	ko	3659
가문	ko	3656
왕국	ko	3638
소설	ko	3633
물질	ko	3631
과거	ko	3625
수행	ko	3624
드라마	ko	3614
능력	ko	3603
피	ko	3602
개최	ko	3601
헌법	ko	3600
의원	ko	3595
프로	ko	3581
후보	ko	3567
읽	ko	3558
넘	ko	3558
데뷔	ko	3553
나누	ko	3551
현상	ko	3543
어느	ko	3541
자기	ko	3534
가깝	ko	3530
천황	ko	3530
돌아오	ko	3518
수록	ko	3517
교통	ko	3514
기업	ko	3510
쿠	ko	3505
자체	ko	3503
으므로	ko	3502
주도	ko	3495
바뀌	ko	3494
높이	ko	3494
규정	ko	3493
선정	ko	3479
행위	ko	3472
모양	ko	3459
공간	ko	3458
사용자	ko	3452
값	ko	3450
서쪽	ko	3444
이승만	ko	3441
목록	ko	3428
멤버	ko	3424
활약	ko	3420
영토	ko	3418
동쪽	ko	3418
태양	ko	3418
환경	ko	3413
담당	ko	3408
가수	ko	3398
글	ko	3389
최	ko	3381
채	ko	3380
남부	ko	3379
경력	ko	3375
넣	ko	3373
크기	ko	3372
전국	ko	3370
적용	ko	3360
팔	ko	3339
회의	ko	3338
인도	ko	3333
아직	ko	3332
싱글	ko	3331
오늘날	ko	3323
판매	ko	3317
왕조	ko	3310
작전	ko	3307
역대	ko	3298
지정	ko	3288
연합	ko	3286
어렵	ko	3285
차례	ko	3285
돌	ko	3282
눈	ko	3280
구간	ko	3278
논란	ko	3277
사단	ko	3273
아이	ko	3264
추진	ko	3263
전자	ko	3258
남기	ko	3256
장치	ko	3255
효과	ko	3255
으면	ko	3252
벌이	ko	3251
개혁	ko	3250
나뉘	ko	3248
밴드	ko	3247
영역	ko	3245
지니	ko	3239
점령	ko	3238
선출	ko	3237
여자	ko	3237
국내	ko	3235
계약	ko	3234
받아들이	ko	3232
월드컵	ko	3219
보호	ko	3207
석	ko	3207
인터넷	ko	3198
우	ko	3194
론	ko	3189
경찰	ko	3188
빠르	ko	3185
급	ko	3184
거두	ko	3180
나이	ko	3179
사랑	ko	3179
표기	ko	3177
실제로	ko	3177
다루	ko	3172
부족	ko	3172
려고	ko	3171
려는	ko	3168
자연	ko	3166
주민	ko	3160
곧	ko	3151
올림픽	ko	3145
발달	ko	3139
널리	ko	3136
성장	ko	3135
더욱	ko	3131
음력	ko	3126
쪽	ko	3122
선택	ko	3121
